Pair,Total_Return,Cumulative_Return,Annualized_Return,Sharpe_Ratio,Max_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Max_Cumulative_Return,Min_Cumulative_Return,Status
ABSLAMC-APCL,8.94,9.22,17.92,1.116,6.37,5,80.0,2.41,9.22,-6.23,FAIR
AAREYDRUGS-AJRINFRA,16.74,16.48,34.67,1.581,2.70,8,50.0,2.79,19.18,-1.87,GOOD
AARVEEDEN-ALPSINDUS,64.64,58.64,160.95,1.768,12.18,11,63.6,3.08,71.20,0.00,EXCELLENT
AARVI-ADANITRANS,36.93,36.09,83.04,1.516,5.83,8,75.0,4.09,41.23,0.00,EXCELLENT
AAVAS-AMRUTANJAN,31.03,32.38,68.18,1.246,5.94,3,66.7,5.64,36.67,0.00,EXCELLENT
AFFLE-AMRUTANJAN,-166.97,-224.07,nan,-1.559,163.70,11,18.2,0.11,6.60,-228.69,POOR
AGSTRA-AJRINFRA,170.25,130.28,576.96,1.929,5.75,8,62.5,9.94,132.87,-1.72,EXCELLENT
AGSTRA-ANURAS,11.13,11.07,22.50,1.480,3.07,7,42.9,3.08,14.15,0.00,GOOD
ADANITRANS-AMRUTANJAN,41.44,51.75,94.82,1.048,28.05,13,30.8,1.80,77.95,0.00,EXCELLENT
AARVEEDEN-AFFLE,1.38,2.23,2.67,0.232,6.45,9,55.6,1.10,6.66,-6.00,FAIR
PORTFOLIO,21.55,1712.91,45.56,1.518,13.84,83,50.6,1.63,1712.91,0.00,PORTFOLIO
