Pair,Total_Return,CAGR,Sharpe_Ratio,Max_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Status
ABSLAMC-APCL,8.94,17.92,1.116,6.37,5,80.0,2.41,FAIR
AAREYDRUGS-AJRINFRA,16.74,34.67,1.581,2.70,8,50.0,2.79,GOOD
AARVEEDEN-ALPSINDUS,64.64,160.95,1.768,12.18,11,63.6,3.08,EXCELLENT
AARVI-ADANITRANS,36.93,83.04,1.516,5.83,8,75.0,4.09,EXCELLENT
AAVAS-AMRUTANJAN,31.03,68.18,1.246,5.94,3,66.7,5.64,EXCELLENT
AFFLE-AMRUTANJAN,-166.97,nan,-1.559,163.70,11,18.2,0.11,POOR
AGSTRA-AJRINFRA,170.25,576.96,1.929,5.75,8,62.5,9.94,EXCELLENT
AGSTRA-ANURAS,11.13,22.50,1.480,3.07,7,42.9,3.08,GOOD
ADANITRANS-AMRUTANJAN,41.44,94.82,1.048,28.05,13,30.8,1.80,EXCELLENT
AARVEEDEN-AFFLE,1.38,2.67,0.232,6.45,9,55.6,1.10,FAIR
PORTFOLIO,21.55,45.56,1.518,13.84,83,50.6,1.63,PORTFOLIO
